City,Gas,Electricity
NUNHEM,79812,31266
HORN,362745,159167
NEER,393866,138668
ROGGEL,511942,184697
HEIBLOEM,97820,28461
LEVEROY,137849,44512
HEYTHUYSEN,714666,247066
BAEXEM,290549,103495
GRATHEM,177698,60031
HEEL,440282,192512
BEEGDEN,173918,70402
ECHT,1516106,620699
KONINGSBOSCH,193729,75108
"MARIA HOOP",138172,44498
MARIAHOOP,4664,4664
STEVENSWEERT,159341,74031
"OHE EN LAAK",93951,42570
"SINT JOOST",111549,50462
SUSTEREN,729250,319647
ROOSTEREN,181291,74639
NIEUWSTADT,288421,125750
BORN,518140,197837
BUCHTEN,182830,88714
HOLTUM,113250,59064
PAPENHOVEN,85795,43012
OBBICHT,163501,76965
GREVENBICHT,200931,103698
URMOND,505713,208825
SITTARD,3795365,1471190
LIMBRICHT,241325,116756
EINIGHAUSEN,128594,57998
GUTTECOVEN,118340,56010
MUNSTERGELEEN,438397,210232
WINDRAAK,35093,7615
PUTH,170855,81873
GELEEN,3069623,1223610
"STEIN LB",1035379,456339
SWEIKHUIZEN,67454,36143
SPAUBEEK,296760,134416
"ELSLOO LB",789795,355082
"BEEK LB",1166068,503779
MAASTRICHT-AIRPORT,15999,11854
MAASTRICHT,9540334,3996538
MEERSSEN,729564,314089
ULESTRATEN,313536,144696
MOORVELD,39244,19365
BUNDE,499676,229777
GEULLE,235405,116614
EIJSDEN,761473,337748
GRONSVELD,325880,147927
ECKELRADE,50399,25659
NOORBEEK,164881,70158
MHEER,83102,46919
BANHOLT,86765,42752
"SINT GEERTRUID",142450,62839
"CADIER EN KEER",334473,183337
BEMELEN,54460,24335
MARGRATEN,390051,177622
GULPEN,406030,152438
INGBER,30803,9766
REIJMERSTOK,88544,28674
HEIJENRATH,37545,3877
SLENAKEN,60084,23485
BEUTENAKEN,4291,3447
MECHELEN,219567,101087
EPEN,156502,57655
WITTEM,186762,85912
EYS,170624,85678
ELKENRADE,3950,2790
VAALS,575442,266565
VIJLEN,176802,65557
LEMIERS,85315,46845
"VALKENBURG LB",1244828,543900
"SCHIN OP GEUL",130548,67997
SCHEULDER,20344,9452
RANSDAAL,89420,42340
WIJLRE,206178,99021
"BERG EN TERBLIJT",429073,199363
SCHIMMERT,371996,152055
HULSBERG,393633,187842
WALEM,10812,4731
KLIMMEN,323725,153014
BOCHOLTZ,434008,205521
NUTH,630933,263875
WIJNANDSRADE,185852,81157
SCHINNEN,241694,104866
VOERENDAAL,754702,340774
SIMPELVELD,541203,250715
LANDGRAAF,3111180,1372198
HEERLEN,5946947,2440673
HOENSBROEK,1694788,698060
AMSTENRADE,259674,117762
OIRSBEEK,350499,163524
DOENRADE,81330,41529
BRUNSSUM,2472343,1026222
MERKELBEEK,165421,78349
SCHINVELD,435905,208513
JABEEK,60538,30597
BINGELRADE,60579,32813
KERKRADE,3534988,1528332
EYGELSHOVEN,487986,222246
"MOLENHOEK LB",319419,144376
MOOK,324652,138593
PLASMOLEN,58001,20693
MIDDELAAR,67640,30760
GENNEP,822968,326246
OTTERSUM,210440,73338
VEN-ZELDERHEIDE,111831,31827
MILSBEEK,262124,117623
HEIJEN,248387,88320
DEVENTER,6683916,2667374
COLMSCHATE,117925,39464
DIEPENVEEN,405109,192917
SCHALKHAAR,482835,210694
LETTELE,168327,58666
OKKENBROEK,63795,22483
BATHMEN,640427,257833
NIJVERDAL,2221186,956039
HELLENDOORN,651410,275813
"HAARLE GEM HELLENDOORN",360108,96300
HOLTEN,1139617,462924
RIJSSEN,2394453,1039095
ZUNA,44707,4448
NOTTER,67244,67244
ENTER,854001,854001
GOOR,42120,42120
MARKELO,1055495,1055495
DIEPENHEIM,330734,330734
HAAKSBERGEN,2545355,934123
DELDEN,812233,812233
HENGEVELDE,298295,298295
"AMBT DELDEN",323559,323559
BENTELO,276794,276794
ENSCHEDE,12770088,4879716
HENGELO,3536,3536
"HENGELO OV",7458835,2477668
Hengelo,3251,3251
DEURNINGEN,244531,244531
OLDENZAAL,143004,143004
LOSSER,1289415,579114
GLANE,55656,20276
OVERDINKEL,411443,177776
"DE LUTTE",393745,144402
"BEUNINGEN OV",91613,28700
DENEKAMP,1029880,1029880
WEERSELO,390308,390308
"ROSSUM OV",233167,233167
SAASVELD,196554,196554
ALMELO,66338,66338
AADORP,120950,120950
MARIAPAROCHIE,26208,26208
HARBRINKHOEK,134026,134026
BORNE,1828205,1828205
ZENDEREN,154333,154333
HERTME,47480,47480
BORNERBROEK,247142,247142
OOTMARSUM,608085,608085
TILLIGTE,91129,91129
LATTROP-BREKLENKAMP,192180,192180
AGELO,38414,38414
"OUD OOTMARSUM",45198,45198
WIERDEN,1526833,1526833
"HOGE HEXEL",127807,127807
TUBBERGEN,609562,609562
VASSE,121801,121801
HEZINGEN,13685,13685
MANDER,57478,57478
MANDERVEEN,85281,85281
ALBERGEN,410464,410464
FLERINGEN,136222,136222
REUTUM,181906,181906
"HAARLE GEM TUBBERGEN",28590,28590
VRIEZENVEEN,1337621,1337621
BRUINEHAAR,33852,33852
"WESTERHAAR-VRIEZENV WIJK",407772,407772
"GEESTEREN OV",496630,496630
LANGEVEEN,167904,167904
VROOMSHOOP,920682,2061
"DEN HAM OV",632719,632719
BEERZERVELD,115308,44313
GEERDIJK,49603,49603
DAARLERVEEN,112592,59389
DAARLE,222839,68934
BERGENTHEIM,288373,288373
MARIENBERG,87739,87739
SIBCULO,176778,176778
KLOOSTERHAAR,169467,169467
BRUCHTERVELD,130542,130542
BRUCHT,30074,30074
DEDEMSVAART,1288161,1288161
DROGTEROPSLAGEN,51164,51164
BALKBRUG,463746,463746
NIEUWLEUSEN,877515,371767
PUNTHORST,123328,5493
DALFSEN,1608819,606175
OMMEN,1114780,484268
VILSTEREN,35153,12999
ARRIEN,61395,19094
BEERZE,25085,11966
STEGEREN,56077,15760
WITHAREN,101523,39343
VINKENBUURT,92207,22865
COEVORDEN,1586667,1586667
DALEN,457076,457076
DALERPEEL,58372,58372
WACHTUM,58690,58690
DALERVEEN,44128,44128
STIELTJESKANAAL,43982,43982
SCHOONEBEEK,454137,205279
ZANDPOL,44664,20994
WEITEVEEN,150559,67007
NIEUW-SCHOONEBEEK,143568,62012
HARDENBERG,1780008,1780008
LUTTEN,244463,244463
SLAGHAREN,373545,373545
SCHUINESLOOT,144586,144586
LOOZEN,25632,25632
HOLTHONE,10385,10385
"DE KRIM",280927,280927
GRAMSBERGEN,274747,274747
ANE,57861,57861
ANEVELDE,20132,20132
"DEN VELDE",34427,34427
HOLTHEME,33295,33295
ANERVEEN,8550,8550
RADEWIJK,99388,99388
VENEBRUGGE,9758,9758
HOOGENWEG,36496,36496
RHEEZE,58877,58877
DIFFELEN,16560,16560
HEEMSERVEEN,26233,26233
RHEEZERVEEN,59358,59358
COLLENDOORN,42315,42315
EMMEN,5164827,2256465
NIEUW-WEERDINGE,354761,165496
NIEUW-AMSTERDAM,464052,207164
SLEEN,220187,122017
DIPHOORN,7900,3768
ERM,61661,30161
VEENOORD,211482,103058
HOLSLOOT,34524,7506
NOORD-SLEEN,119246,35003
"'T HAANTJE",15343,8494
SCHOONOORD,202996,103796
"DE KIEL",41084,18956
ZWEELOO,71524,26464
WEZUP,36760,9838
WEZUPERBRUG,25978,7218
AALDEN,139565,72812
MEPPEN,40781,19823
BENNEVELD,7875,2578
EESERVEEN,38717,12542
OOSTERHESSELEN,201700,201700
GEES,60467,60467
ZWINDEREN,74957,74957
KLIJNDIJK,56389,31895
VALTHE,118344,64973
ODOORN,167516,94769
ODOORNERVEEN,55268,20410
EXLOO,178179,83064
VALTHERMOND,364373,181515
"2E VALTHERMOND",22459,9013
EMMER-COMPASCUUM,795585,367189
BARGER-COMPASCUUM,167740,84613
NIEUW-DORDRECHT,186811,78743
ERICA,501112,234560
KLAZIENAVEEN-NOORD,22888,9660
KLAZIENAVEEN,1088834,491740
ZWARTEMEER,259187,133253
ROSWINKEL,98194,46548
HOOGEVEEN,169323,169323
NIEUWEROORD,80130,5971
NOORDSCHESCHUT,16187,16187
NIEUWLANDE,117144,117144
GEESBRUG,166020,166020
"ZUIDWOLDE DR",762717,762717
VEENINGEN,116546,116546
"LINDE DR",113590,113590
ZUIDWOLDE,4589,4589
KERKENVELD,117828,117828
"ALTEVEER GEM DE WOLDEN",70821,70821
STUIFZAND,92037,92037
FLUITENBERG,67147,67147
"ECHTEN DR",44232,44232
PESSE,162225,162225
"EURSINGE GEM DE WOLDEN",5466,5466
TIENDEVEEN,87700,14131
NIEUW-BALINGE,80878,32744
MEPPEL,2743457,2743457
WANNEPERVEEN,230959,230959
NIJEVEEN,396563,396563
ROGAT,21571,21571
STAPHORST,1024785,1024785
ROUVEEN,335638,2505
IJHORST,161152,161152
"DE WIJK",307358,307358
KOEKANGE,332836,332836
RUINERWOLD,497871,497871
RUINEN,426961,426961
ANSEN,51066,51066
"BROEKHUIZEN DR",23514,23514
"DE SCHIPHORST",32026,32026
HAVELTE,368300,368300
DARP,57465,57465
HAVELTERBERG,16202,16202
UFFELTE,142470,142470
DIEVER,253572,253572
WAPSE,99600,99600
DIEVERBRUG,53542,53542
WITTELTE,58076,58076
DWINGELOO,566704,566704
ZWOLLE,10035998,3961061
"LAAG ZUTHEM",73722,21156
HASSELT,656625,266708
ZWARTSLUIS,476995,476995
BELT-SCHUTSLOOT,67503,67503
RAALTE,1813396,760704
LUTTENBERG,267413,104284
MARIENHEEM,245981,71842
"BROEKLAND OV",144307,43844
HEETEN,423149,138618
"NIEUW HEETEN",137941,41004
OLST,751531,308268
WESEPE,141730,62500
WIJHE,791951,300195
HEINO,738416,319491
LIERDERHOLTHUIS,58871,21635
DALMSHOLTE,48575,9977
GIETHMEN,24046,6395
LEMELE,144917,52378
LEMELERVELD,518867,185921
WELSUM,89385,28774
KAMPEN,3067167,1288326
KAMPERVEEN,130095,39883
IJSSELMUIDEN,914100,360863
WILSUM,80926,30996
'S-HEERENBROEK,46230,17721
ZALK,79448,25485
GRAFHORST,54767,28719
GENEMUIDEN,946466,385799
MASTENBROEK,101446,10537
VOLLENHOVE,386158,156273
"SINT JANSKLOOSTER",233279,97590
STEENWIJK,36793,36793
"WITTE PAARDEN",33466,33466
"DE POL",21397,21397
WILLEMSOORD,92769,92769
MARIJENKAMPEN,25613,25613
STEENWIJKERWOLD,171969,171969
BASSE,9709,9709
ZUIDVEEN,10804,10804
ONNA,35231,35231
KALLENKOTE,34371,34371
"DE BULT",25598,25598
EESVEEN,72672,72672
WAPSERVEEN,138148,138148
GIETHOORN,400378,400378
BLOKZIJL,179930,179930
IJSSELHAM,29148,29148
NEDERLAND,6827,6827
WETERING,28470,28470
SCHEERWOLDE,74551,74551
OLDEMARKT,244851,244851
OSSENZIJL,72865,72865
KALENBERG,30264,30264
PAASLOO,57562,57562
VLEDDER,173769,173769
FREDERIKSOORD,37657,37657
NIJENSLEEK,68041,68041
WILHELMINAOORD,77875,77875
"VLEDDERVEEN DR",29354,29354
DOLDERSUM,19772,19772
STEGGERDA,4618,4618
"DE BLESSE",3566,3566
BLESDIJKE,6221,6221
ZORGVLIED,29482,29482
WATEREN,21126,21126
"OUDE WILLEM",15590,15590
DRACHTSTERCOMPAGNIE,4790,4790
SURHUISTERVEEN,8814,8814
BAKKEVEEN,4968,4968
SURHUIZUM,5823,1830
RODEN,1362888,719612
LIEVEREN,24356,12255
RODERESCH,35174,15229
"ALTEVEER GEM NOORDENVELD",12769,10061
"STEENBERGEN DR",41284,15896
NIEUW-RODEN,151021,72856
NIETAP,93654,55756
LEUTINGEWOLDE,18990,5444
FOXWOLDE,26348,13761
RODERWOLDE,41387,18383
PEIZE,558174,274577
NORG,316469,171344
"LANGELO DR",25769,12666
PEEST,15110,6907
ZUIDVELDE,79556,15876
"HUIS TER HEIDE DR",15467,5581
WESTERVELDE,30196,9879
VEENHUIZEN,113001,59150
EEN,96228,42707
EEN-WEST,59011,11585
LEEK,1026733,503729
"ZEVENHUIZEN GN",308543,158439
MIDWOLDE,63338,26122
TOLBERT,414566,197729
BOERAKKER,42439,19808
MARUM,551272,270948
NUIS,91594,49058
NIEBERT,95765,47486
JONKERSVAART,34353,13318
"DE WILP GN",170339,86678
ASSEN,5399613,2523382
LOON,28411,14427
BEILEN,1234741,516764
HOOGHALEN,191082,78334
HIJKEN,107264,36325
ORANJE,31015,7536
SPIER,52893,13657
WIJSTER,212417,68196
DRIJBER,80795,19532
BOVENSMILDE,291157,145282
SMILDE,591215,244649
HOOGERSMILDE,165371,63188
WESTERBORK,532325,252997
ZUIDVELD,11947,5102
ZWIGGELTE,84672,33585
EURSINGE,43470,3887
MANTINGE,63614,19517
BALINGE,4785,1898
GARMINGE,14075,5775
WITTEVEEN,113807,36613
ORVELTE,50730,20995
ELP,35577,15174
SCHOONLOO,69594,22513
GROLLOO,107791,48342
VREDENHEIM,11065,3165
AMEN,11411,11411
PAPENVOORT,21197,6443
MARWIJKSOORD,15067,15067
NOOITGEDACHT,41613,14112
ROLDE,376419,200319
NIJLANDE,5374,2454
ELDERSLOO,10452,3578
EKEHAAR,30432,10958
GEELBROEK,10386,3556
DEURZE,5912,3082
BALLOO,24241,11234
GIETEN,528562,263598
GASSELTE,183901,92303
EEXT,157845,84708
EEXTERZANDVOORT,17411,6997
ANDEREN,33950,17355
GASTEREN,54903,31318
ANLOO,57552,24864
ANNEN,371575,170140
SCHIPBORG,55421,32812
ZUIDLAREN,954835,495152
"DE GROEVE",34275,19344
ZUIDLAARDERVEEN,34587,13715
MIDLAREN,30091,19610
NOORDLAREN,73528,37499
VRIES,382109,224969
TYNAARLO,225459,102543
ZEEGSE,54170,24554
"OUDEMOLEN DR",7562,3403
TAARLO,20783,11013
"TER AARD",17392,5507
ZEIJERVELD,20761,7045
ZEIJEN,72172,34642
UBBENA,26899,6540
"DE PUNT",17791,8974
YDE,79747,43543
WINDE,7260,3070
BUNNE,26305,6438
DONDEREN,58167,27396
STADSKANAAL,1724878,802950
GIETERVEEN,84068,45027
NIEUWEDIEP,42644,19572
GASSELTERNIJVEEN,187189,96941
GASSELTERNIJVEENSCHEMOND,80162,32429
NIEUW-BUINEN,431282,198100
DROUWENERMOND,50928,30808
BUINERVEEN,23351,12051
DROUWENERVEEN,37848,16769
BRONNEGERVEEN,6836,2726
BRONNEGER,6358,2882
BUINEN,112599,53081
BORGER,535130,260140
DROUWEN,52750,24301
WESTDORP,37346,12048
EES,36645,22805
EESERGROEN,26294,9941
VLAGTWEDDE,379414,174929
BOURTANGE,85753,41716
SELLINGEN,291152,130433
"TER APEL",826152,393922
"TER APELKANAAL",103446,56167
"ZANDBERG DR",28653,9622
VEELERVEEN,52010,24328
"2E EXLOERMOND",255890,123323
"1E EXLOERMOND",43890,15193
EXLOERVEEN,25398,9188
MUSSELKANAAL,652022,342317
MUSSEL,103480,50266
"VLEDDERVEEN GN",31472,15821
ONSTWEDDE,279645,122225
HOOGEZAND,1576769,731284
KIEL-WINDEWEER,103895,42252
KROPSWOLDE,154481,75143
FOXHOL,94645,48239
WESTERBROEK,86929,50891
SAPPEMEER,620068,310950
MEERSTAD,29924,29924
KOLHAM,126215,62067
SCHARMER,57696,25867
HARKSTEDE,212162,109247
WOUDBLOEM,14884,6346
FROOMBOSCH,68227,29846
SLOCHTEREN,197252,109338
LAGELAND,17190,4720
LUDDEWEER,12317,3234
OVERSCHILD,68455,24542
SCHILDWOLDE,164049,72614
HELLUM,66380,33256
SIDDEBUREN,294099,145005
STEENDAM,30526,11339
BORGERCOMPAGNIE,60841,27864
TRIPSCOMPAGNIE,19955,10692
NOORDBROEK,173923,93209
ZUIDBROEK,391469,169917
VEENDAM,1955985,1039461
WILDERVANK,534194,285104
MUNTENDAM,401761,207588
MEEDEN,154477,82713
ANNERVEENSCHEKANAAL,27571,13270
"OUD ANNERVEEN",17032,8045
"SPIJKERBOOR DR",18346,8605
"NIEUW ANNERVEEN",13460,7471
EEXTERVEEN,39727,21191
EEXTERVEENSCHEKANAAL,27021,15523
"ALTEVEER GN",121142,56374
"NIEUWE PEKELA",436015,233969
"OUDE PEKELA",741590,369766
WINSCHOTEN,1900174,872795
HEILIGERLEE,94874,52738
"WESTERLEE GN",134420,68594
SCHEEMDA,439775,226615
MIDWOLDA,184205,93423
"OOSTWOLD GEM OLDAMBT",123391,65050
"OOSTWOLD SCHEEMDA",3547,2030
FINSTERWOLDE,288684,129712
BLAUWESTAD,52187,16076
BEERTA,203190,107109
"NIEUW BEERTA",53150,15786
DRIEBORG,39478,15892
OUDEZIJL,5500,3708
"BAD NIEUWESCHANS",132787,83287
BELLINGWOLDE,324260,170393
OUDESCHANS,30612,10721
BLIJHAM,248284,137129
WEDDE,163558,71001
VRIESCHELOO,118156,60289
GRONINGEN,15298791,6910605
MATSLOOT,11018,7501
"HAREN GN",1695126,962403
ONNEN,62395,36742
GLIMMEN,153064,92700
EELDE,539089,287091
PATERSWOLDE,417482,243879
EELDERWOLDE,126844,55290
SAUWERD,83064,46717
WETSINGE,10594,4795
ADORP,52880,24168
BEDUM,830984,401436
"NOORDWOLDE GN",33121,14542
"ZUIDWOLDE GN",126320,73651
"TEN BOER",372255,177517
"TEN POST",97500,46630
WINNEWEER,17176,4934
LELLENS,9006,4541
WOLTERSUM,41698,20891
"SINT ANNEN",3727,2170
THESINGE,57854,26552
GARMERWOLDE,45610,26480
ZUIDHORN,592648,299311
NOORDHORN,151211,76505
BRILTIL,53187,15158
ENUMATIL,32372,13428
OLDEKERK,159048,57939
"NIEKERK GROOTEGAST",157912,80456
"NOORDWIJK GN",66222,29065
LUCASWOLDE,24122,4792
LETTELBERT,10217,4978
"OOSTWOLD GEM LEEK",70328,33941
ADUARD,205216,93798
