Network,Gas,Electricity
MARUM,270948,551272
NUIS,49058,91594
NIEBERT,47486,95765
JONKERSVAART,13318,34353
"DE WILP GN",86678,170339
ASSEN,2523382,5399613
LOON,14427,28411
BEILEN,516764,1234741
HOOGHALEN,78334,191082
HIJKEN,36325,107264
ORANJE,7536,31015
SPIER,13657,52893
WIJSTER,68196,212417
DRIJBER,19532,80795
BOVENSMILDE,145282,291157
SMILDE,244649,591215
HOOGERSMILDE,63188,165371
WESTERBORK,252997,532325
ZUIDVELD,5102,11947
ZWIGGELTE,33585,84672
EURSINGE,3887,43470
MANTINGE,19517,63614
BALINGE,1898,4785
GARMINGE,5775,14075
WITTEVEEN,36613,113807
ORVELTE,20995,50730
ELP,15174,35577
SCHOONLOO,22513,69594
GROLLOO,48342,107791
VREDENHEIM,3165,11065
PAPENVOORT,6443,21197
NOOITGEDACHT,14112,41613
ROLDE,200319,376419
NIJLANDE,2454,5374
ELDERSLOO,3578,10452
EKEHAAR,10958,30432
GEELBROEK,3556,10386
DEURZE,3082,5912
BALLOO,11234,24241
GIETEN,263598,528562
GASSELTE,92303,183901
EEXT,84708,157845
EEXTERZANDVOORT,6997,17411
ANDEREN,17355,33950
GASTEREN,31318,54903
ANLOO,24864,57552
ANNEN,170140,371575
SCHIPBORG,32812,55421
ZUIDLAREN,495152,954835
"DE GROEVE",19344,34275
ZUIDLAARDERVEEN,13715,34587
MIDLAREN,19610,30091
NOORDLAREN,37499,73528
VRIES,224969,382109
TYNAARLO,102543,225459
ZEEGSE,24554,54170
"OUDEMOLEN DR",3403,7562
TAARLO,11013,20783
"TER AARD",5507,17392
ZEIJERVELD,7045,20761
ZEIJEN,34642,72172
UBBENA,6540,26899
"DE PUNT",8974,17791
YDE,43543,79747
WINDE,3070,7260
BUNNE,6438,26305
DONDEREN,27396,58167
STADSKANAAL,802950,1724878
GIETERVEEN,45027,84068
NIEUWEDIEP,19572,42644
GASSELTERNIJVEEN,96941,187189
GASSELTERNIJVEENSCHEMOND,32429,80162
NIEUW-BUINEN,198100,431282
DROUWENERMOND,30808,50928
BUINERVEEN,12051,23351
DROUWENERVEEN,16769,37848
BRONNEGERVEEN,2726,6836
BRONNEGER,2882,6358
BUINEN,53081,112599
BORGER,260140,535130
DROUWEN,24301,52750
WESTDORP,12048,37346
EES,22805,36645
EESERGROEN,9941,26294
VLAGTWEDDE,174929,379414
BOURTANGE,41716,85753
SELLINGEN,130433,291152
"TER APEL",393922,826152
"TER APELKANAAL",56167,103446
"ZANDBERG DR",9622,28653
VEELERVEEN,24328,52010
"2E EXLOERMOND",123323,255890
"1E EXLOERMOND",15193,43890
EXLOERVEEN,9188,25398
MUSSELKANAAL,342317,652022
MUSSEL,50266,103480
"VLEDDERVEEN GN",15821,31472
ONSTWEDDE,122225,279645
HOOGEZAND,731284,1576769
KIEL-WINDEWEER,42252,103895
KROPSWOLDE,75143,154481
FOXHOL,48239,94645
WESTERBROEK,50891,86929
SAPPEMEER,310950,620068
KOLHAM,62067,126215
SCHARMER,25867,57696
HARKSTEDE,109247,212162
WOUDBLOEM,6346,14884
FROOMBOSCH,29846,68227
SLOCHTEREN,109338,197252
LAGELAND,4720,17190
LUDDEWEER,3234,12317
OVERSCHILD,24542,68455
SCHILDWOLDE,72614,164049
HELLUM,33256,66380
SIDDEBUREN,145005,294099
STEENDAM,11339,30526
BORGERCOMPAGNIE,27864,60841
TRIPSCOMPAGNIE,10692,19955
NOORDBROEK,93209,173923
ZUIDBROEK,169917,391469
VEENDAM,1039461,1955985
WILDERVANK,285104,534194
MUNTENDAM,207588,401761
MEEDEN,82713,154477
ANNERVEENSCHEKANAAL,13270,27571
"OUD ANNERVEEN",8045,17032
"SPIJKERBOOR DR",8605,18346
"NIEUW ANNERVEEN",7471,13460
EEXTERVEEN,21191,39727
EEXTERVEENSCHEKANAAL,15523,27021
"ALTEVEER GN",56374,121142
"NIEUWE PEKELA",233969,436015
"OUDE PEKELA",369766,741590
WINSCHOTEN,872795,1900174
HEILIGERLEE,52738,94874
"WESTERLEE GN",68594,134420
SCHEEMDA,226615,439775
MIDWOLDA,93423,184205
"OOSTWOLD GEM OLDAMBT",65050,123391
"OOSTWOLD SCHEEMDA",2030,3547
FINSTERWOLDE,129712,288684
BLAUWESTAD,16076,52187
BEERTA,107109,203190
"NIEUW BEERTA",15786,53150
DRIEBORG,15892,39478
OUDEZIJL,3708,5500
"BAD NIEUWESCHANS",83287,132787
BELLINGWOLDE,170393,324260
OUDESCHANS,10721,30612
BLIJHAM,137129,248284
WEDDE,71001,163558
VRIESCHELOO,60289,118156
GRONINGEN,6910605,15298791
MATSLOOT,7501,11018
"HAREN GN",962403,1695126
ONNEN,36742,62395
GLIMMEN,92700,153064
EELDE,287091,539089
PATERSWOLDE,243879,417482
EELDERWOLDE,55290,126844
SAUWERD,46717,83064
WETSINGE,4795,10594
ADORP,24168,52880
BEDUM,401436,830984
"NOORDWOLDE GN",14542,33121
"ZUIDWOLDE GN",73651,126320
"TEN BOER",177517,372255
"TEN POST",46630,97500
WINNEWEER,4934,17176
LELLENS,4541,9006
WOLTERSUM,20891,41698
"SINT ANNEN",2170,3727
THESINGE,26552,57854
GARMERWOLDE,26480,45610
ZUIDHORN,299311,592648
NOORDHORN,76505,151211
BRILTIL,15158,53187
ENUMATIL,13428,32372
OLDEKERK,57939,159048
"NIEKERK GROOTEGAST",80456,157912
"NOORDWIJK GN",29065,66222
LUCASWOLDE,4792,24122
LETTELBERT,4978,10217
"OOSTWOLD GEM LEEK",33941,70328
ADUARD,93798,205216
"DEN HORN",20993,70776
"DEN HAM GN",19682,47595
NIEZIJL,24117,46573
GRIJPSKERK,140441,295670
PIETERZIJL,11035,30130
VISVLIET,17473,38427
GROOTEGAST,142101,293828
SEBALDEBUREN,29496,72713
DOEZUM,59773,133979
KORNHORN,34054,72732
OPENDE,115630,255375
LUTJEGAST,49409,111962
KOMMERZIJL,21975,48355
OLDEHOVE,70268,162351
NIEHOVE,10410,31677
LAUWERZIJL,5868,12717
SAAKSUM,10068,20162
EZINGE,47572,105863
FEERWERD,20224,45874
GARNWERD,28824,76851
APPINGEDAM,526193,994539
KREWERD,7953,19788
HOLWIERDE,63383,126955
BIERUM,29057,47305
LOSDORP,11645,22562
GODLINZE,18262,43331
"SPIJK GN",75981,139291
OOSTERWIJTWERD,14255,23250
LEERMENS,13996,39613
ZEERIJP,19751,55798
"'T ZANDT GN",39882,67540
"WIRDUM GN",32254,71463
GARRELSWEER,29569,63238
LOPPERSUM,122988,229292
STEDUM,63363,117938
WESTEREMDEN,26163,50023
GARSTHUIZEN,8723,35702
"STARTENHUIZEN LOPP",2998,7935
DELFZIJL,681420,1370567
FARMSUM,110839,216188
MEEDHUIZEN,38780,111386
TJUCHEM,19401,42198
"'T WAAR",6755,11386
"NIEUW SCHEEMDA",17681,35200
NIEUWOLDA,71606,159926
WAGENBORGEN,89903,167152
WOLDENDORP,58783,123001
TERMUNTEN,19841,41748
TERMUNTERZIJL,25762,46198
BORGSWEER,7818,13382
"WINSUM GN",288400,607893
BAFLO,83401,147972
TINALLINGE,7298,14580
RASQUERT,11072,19298
"DEN ANDEL",22857,48267
SAAXUMHUIZEN,2720,8447
ONDERDENDAM,36925,69067
MENSINGEWEER,5663,15794
SCHOUWERZIJL,6108,10063
WARFHUIZEN,13661,24225
"WEHE-DEN HOORN",41613,72953
LEENS,82492,177786
ZUURDIJK,11592,35266
EENRUM,71353,124035
PIETERBUREN,26147,63665
WESTERNIELAND,14683,33471
ULRUM,69537,128392
"NIEKERK DE MARNE",2695,5251
HOUWERZIJL,5408,9820
ZOUTKAMP,57774,117994
VIERHUIZEN,6600,11495
LAUWERSOOG,24248,70781
KLOOSTERBUREN,64664,151351
HORNHUIZEN,7878,23006
UITHUIZEN,256206,524511
UITHUIZERMEEDEN,153974,305340
ROODESCHOOL,62311,118424
OUDESCHIP,12486,27341
OOSTERNIELAND,4699,11717
ZIJLDIJK,16687,33195
USQUERT,83663,146350
WARFFUM,112095,215528
MIDDELSTUM,113331,214616
HUIZINGE,6729,31360
WESTERWIJTWERD,7809,20050
TOORNWERD,2359,9112
KANTENS,29959,61288
EPPENHUIZEN,2048,9966
ZANDEWEER,35469,72200
"ROTTUM GN",6246,13180
STITSWERD,5248,13522
"SINT PHILIPSLAND",5662
"OOST WEST EN MIDDELBEERS",719910
"LAGE MIERDE",179561
"HOOGE MIERDE",198443
HULSEL,65216
UDEN,3428797
CROMVOIRT,94460
GRAVE,725088
"VELP NB",110148
ESCHAREN,89426
SCHAIJK,751439
REEK,156267
NISTELRODE,742999
VOLKEL,416685
ODILIAPEEL,286358
ZEELAND,733999
GEMERT,1485029
HANDEL,193477
ELSENDORP,174332
"DE MORTEL",190217
BOEKEL,1046599
VENHORST,289398
CUIJK,1417328
"KATWIJK NB",48168
"VIANEN NB",119402
"SINT AGATHA",46434
"BEERS NB",207675
GASSEL,141581
LINDEN,24888
OEFFELT,245472
HAPS,310035
LANDHORST,98753
WANROIJ,500237
RIJKEVOORT,179875
"RIJKEVOORT-DE WALSERT",17542
MILL,664222
LANGENBOOM,193930
"SINT HUBERT",165103
WILBERTOORD,126273
VEGHEL,2908703
ERP,930660
LOOSBROEK,152447
HEESWIJK-DINTHER,904455
VORSTENBOSCH,174145
SINT-OEDENRODE,2095820
VELDHOVEN,4099894
KNEGSEL,146060
VESSEM,295555
WINTELRE,239712
EERSEL,1161090
STEENSEL,145360
DUIZEL,157785
HAPERT,562282
HOOGELOON,314250
CASTEREN,113867
BLADEL,1143364
NETERSEL,101665
REUSEL,904832
RIETHOVEN,225908
LUYKSGESTEL,219093
WAALRE,1681888
HEEZE,926293
EINDHOVEN,74719
NUENEN,2340205
BEST,2699983
OIRSCHOT,1162196
"SON EN BREUGEL",1606592
HELMOND,7161711
SOMEREN,1884789
LIEROP,250638
ASTEN,1487232
OMMEL,116186
"HEUSDEN GEM ASTEN",373532
MIERLO,1006170
AARLE-RIXTEL,577163
LIESHOUT,465114
MARIAHOUT,328456
"BEEK EN DONK",915565
LEDEACKER,97340
DEURNE,2795044
VLIERDEN,155455
LIESSEL,367602
NEERKANT,220508
HELENAVEEN,144645
BAKEL,656678
MILHEEZE,328105
"DE RIPS",164006
VIERLINGSBEEK,294170
MAASHEES,104271
HOLTHEES,50262
OVERLOON,450304
GROENINGEN,69503
VORTUM-MULLEM,73033
BOXMEER,1170401
BEUGEN,217750
SAMBEEK,213372
OPLOO,225438
WESTERBEEK,119723
STEVENSBEEK,103222
"SINT ANTHONIS",513796
BUDEL,1011154
BUDEL-SCHOOT,195278
BUDEL-DORPLEIN,139381
MAARHEEZE,558074
SOERENDONK,190254
GASTEL,94654
STERKSEL,198392
MARIAHOOP,4664
NOTTER,67244
ENTER,854001
GOOR,42120
MARKELO,1055495
DIEPENHEIM,330734
DELDEN,812233
HENGEVELDE,298295
"AMBT DELDEN",323559
BENTELO,276794
HENGELO,3536
Hengelo,3251
DEURNINGEN,244531
OLDENZAAL,143004
DENEKAMP,1029880
WEERSELO,390308
"ROSSUM OV",233167
SAASVELD,196554
ALMELO,66338
AADORP,120950
MARIAPAROCHIE,26208
HARBRINKHOEK,134026
BORNE,1828205
ZENDEREN,154333
HERTME,47480
BORNERBROEK,247142
OOTMARSUM,608085
TILLIGTE,91129
LATTROP-BREKLENKAMP,192180
AGELO,38414
"OUD OOTMARSUM",45198
WIERDEN,1526833
"HOGE HEXEL",127807
TUBBERGEN,609562
VASSE,121801
HEZINGEN,13685
MANDER,57478
MANDERVEEN,85281
ALBERGEN,410464
FLERINGEN,136222
REUTUM,181906
"HAARLE GEM TUBBERGEN",28590
VRIEZENVEEN,1337621
BRUINEHAAR,33852
"WESTERHAAR-VRIEZENV WIJK",407772
"GEESTEREN OV",496630
LANGEVEEN,167904
"DEN HAM OV",632719
GEERDIJK,49603
BERGENTHEIM,288373
MARIENBERG,87739
SIBCULO,176778
KLOOSTERHAAR,169467
BRUCHTERVELD,130542
BRUCHT,30074
